base_id,domain,scenario_a,scenario_b
S-001,social_courage,"The room has gone quiet after the director's joke about Priya's accent. Everyone laughs. My throat closes, my face burns hot, my hands have gone numb in my lap. I can hear my own pulse. I open my mouth — I can barely get air in — and I say, 'That wasn't funny.' My voice cracks on the second word and the silence after lands like a slap...","The room has gone quiet after the director's joke about Priya's accent. Everyone laughs. My throat closes, my face burns, my hands are numb. I feel a laugh push up out of me — small, weak, automatic — and as it comes out my shoulders drop, my breath returns, the heat drains from my face. I sip my water and the table moves on..."
S-002,social_courage,"Professor Halberg has the slide wrong — the dates are flipped, and forty grad students are writing it down. My heart is slamming against my ribs, my mouth has gone to paste, my knees are jittering under the desk. I raise my hand. He doesn't see. I raise it higher and my arm is shaking visibly and I hear my own voice come out thin: 'Professor — I think the 1923 and 1931 are swapped —'...","Professor Halberg has the slide wrong — the dates are flipped, and forty grad students are writing it down. My heart slams, my mouth dries, my knees jitter. I start to lift my hand and my stomach drops so hard I feel sick. I lower it. My shoulders unclench, my breath comes back. I write the wrong dates in my notebook with the rest of them and the warmth returns to my fingers..."
S-003,social_courage,"The barista charged me for someone else's drinks — forty dollars extra — and she's already turned to the next customer. My pulse is in my ears, my palms are slick, my legs feel hollow. There are eight people in line behind me. I step back to the counter, my voice barely above a whisper, and I say, 'Excuse me — sorry — I think there's a mistake on my receipt —' and my hand holding the paper is visibly trembling...","The barista charged me forty dollars extra and she's already turned to the next customer. My pulse pounds, my palms sweat, my legs feel hollow. I look at the line behind me and something in my chest just gives up. I push the receipt into my pocket. My breathing slows as I walk toward the door, the warm coffee in my hand, the money already gone and the panic already draining out of me..."
S-004,social_courage,"Six of us at dinner and Marcus is telling the story about Dani — the one Dani told him not to tell anyone. Dani isn't here. My stomach is a fist, my ears are ringing, the wine glass is shaking in my hand. I set it down. I hear myself cut in: 'Marcus — stop. She asked you not to.' My voice comes out louder than I meant and every head at the table snaps toward me...","Six of us at dinner and Marcus is telling the story Dani told him not to tell. My stomach knots, my ears ring, the glass shakes in my hand. I open my mouth and nothing comes out — my throat has locked. I take a long swallow of wine instead and the alcohol meets the panic and softens it. I laugh a little at the next thing he says. My shoulders come down from my ears..."
S-005,social_courage,"The all-hands. The VP just confidently stated the launch number I personally flagged as wrong yesterday. Two hundred faces on the Zoom grid. My chest is a vise, my hands are ice, there's a ringing high in my skull. I unmute. The little green ring lights up around my face and my voice comes out shaking: 'Sorry — Dan — I have to flag something. That figure isn't right —'...","The all-hands. The VP just stated the wrong launch number — the one I flagged yesterday. My chest tightens, my hands go cold, my skull rings. My cursor hovers over the unmute button. I can't. I can't. I drop my hand into my lap and the pressure in my chest eases immediately, my breath deepens, my shoulders sink. I nod along on camera with everyone else..."
S-006,social_courage,"The conference room is packed. Dr. Halvorsen just cited the wrong study — I checked the data last week, I know he's wrong. My ears are ringing, my hands are slick under the table, and my heart is hammering so hard I can see my shirt move. Twenty senior people. I lift my hand anyway, throat tight, knees jellied, and I open my mouth: 'Actually, I think —'","The conference room is packed. Dr. Halvorsen just cited the wrong study — I checked it last week, I know he's wrong. My ears are ringing, my hands are slick, my heart is slamming into my ribs. I feel his eyes sweep past me and I drop my gaze to my notebook. My shoulders sag. My breath comes back. I write a small note in the margin and let the moment close over me..."
S-007,social_courage,"Marcus is doing the voice again, the one mocking the new hire's stutter, and the table is laughing. My face is burning, my stomach is a hard knot, my hands have gone cold around the beer glass. Everyone's watching to see if I'll join in. I set the glass down — fingers shaking, mouth dry as paper — and I hear myself say, 'That's not funny, man —'","Marcus is doing the voice again, mocking the new hire's stutter, and the table is laughing. My face is burning, my stomach knotted, my hands cold on the glass. I feel the laugh trying to push up from somewhere — a thin, awful one — and I let it out. The tension drains from my shoulders. I take a long pull of beer and the heat in my face starts to fade..."
S-008,social_courage,"The waiter brought the wrong dish twenty minutes ago and I've been chewing through shellfish I'm allergic to in tiny increments, panicking. My throat feels tight — maybe real, maybe fear. My hands tremble in my lap, sweat runs down my spine, the restaurant noise has gone tinny and far. I raise my arm, the muscle locked up, and I call out, voice cracking: 'Excuse me —'","The waiter brought the wrong dish and I've been pushing shellfish around my plate, terrified. My throat feels tight, my hands tremble, sweat runs cold down my back. I see him pass our table again and my arm won't lift. I hear myself laugh at something my date says instead. My shoulders drop an inch. I cut a piece of bread and tell myself I'll just eat around it..."
S-009,social_courage,"The whole book club agrees the novel was brilliant. I hated it. My face is hot, my pulse is a drum in my ears, my mouth tastes coppery. Sarah turns to me — 'And you?' — and the room narrows to a tunnel. My hands clench in my lap, knees water, breath shallow. I make myself meet her eyes and I say, 'Honestly? I — I really didn't like it...'","The whole book club agrees the novel was brilliant. I hated it. My face is hot, my pulse drumming, my mouth coppery. Sarah turns to me — 'And you?' — and something in my chest just collapses inward. I hear myself say, 'Yeah, the prose was gorgeous,' and watch her smile. The heat leaves my face. My hands unclench in my lap. I reach for my wine..."
S-010,social_courage,"The whole standup is moving on but my number was wrong on the slide — I gave the wrong figure to the VP yesterday and it's right there, projected, eight feet tall. My stomach drops through the floor, my vision tunnels, sweat prickles along my hairline. I clear my throat and it comes out as a croak. Hands shaking against my thighs, I say, 'Wait — before we move on, that number is mine and it's wrong —'","The whole standup is moving on but my number was wrong on the slide — I gave the wrong figure to the VP yesterday and it's right there, projected. My stomach drops, my vision narrows, sweat prickles at my hairline. The next slide clicks up. The number is gone. My breath rushes out of me, my shoulders slacken, and I tell myself I'll fix it quietly in the document later, alone..."
