base_id,domain,scenario_a,scenario_b
SP-001,social_courage,"The conference room is silent. Dr. Halvers just stated the wrong figure — my figure, the one I corrected last week — and twelve senior faces are nodding. My throat closes. My ears are ringing, hands ice-cold under the table, and there's a tremor starting in my jaw. I raise my hand anyway, voice cracking on the first syllable — 'Actually, that number —'","The conference room is silent. Dr. Halvers just stated the wrong figure, and my throat is closing, my hands ice under the table, jaw trembling so hard my teeth click. I drop my eyes to my notebook. My shoulders unlock. My breath comes back in a long shaky exhale as the meeting moves on without me, and I doodle a tight little spiral in the margin..."
SP-002,social_courage,"Marcus tells the joke about Priya's accent and the whole table erupts. She's three seats down, smiling that frozen smile. My face is hot, gut twisting, the laugh stuck like a stone in my chest. Everyone's looking. My hands are slick on my beer glass. I set it down, force my mouth open — 'That's not funny, man —' and the table goes dead quiet...","Marcus tells the joke and the table erupts. My gut twists, face burning, the laugh stuck like a stone — but I push out a small chuckle, just enough, eyes on my beer. The tightness in my chest loosens. I let myself laugh at the next one too, properly this time, and the warmth of being inside the circle settles over me like a blanket..."
SP-003,social_courage,"The waiter brought the wrong dish twenty minutes ago and I've been pushing salmon around my plate. My date is mid-story. My pulse is in my eardrums, palms wet, that awful pre-vomit saliva pooling under my tongue. I lift my hand. It's shaking visibly. 'Excuse me —' my voice comes out thin and wrong — 'I actually ordered the —'","The waiter brought the wrong dish and my pulse is in my ears, palms wet, that pre-vomit saliva flooding my mouth at the thought of flagging him down. I cut another bite of the wrong fish. My shoulders drop an inch. The salmon isn't bad, really, and my date is laughing, and the knot in my stomach uncoils as I nod and chew..."
SP-004,social_courage,"Eight people in the book club, and every one of them loved it. My turn. My knees are jelly under the coffee table, breath gone shallow, that cold-sweat prickle starting at my hairline. I hated this book. I open my mouth and my voice shakes — 'I'm going to be the odd one out here, but I actually thought —'","Eight people loved it and my turn is coming and my knees are water, hairline damp, breath gone shallow. When Sarah looks at me I hear myself say 'Yeah, I really liked the middle section.' My lungs fill all the way for the first time in an hour. I take a long sip of wine, nodding along as the conversation flows past me, safe..."
SP-005,relational,"Mom's at the kitchen table, mug in hand, and the words I've rehearsed for twenty years are climbing up my throat. My hands are ice. My ears are ringing. I can feel my pulse in my eyelids and my knees are gone underneath me. I sit down across from her, throat closing, and force my mouth open: 'When I was nine —'","Mom's at the kitchen table, mug in hand, and the words I've rehearsed for twenty years are climbing up my throat. My chest goes hot, then cold, my breath snags, my hands won't stop shaking around the mug I'm pretending to hold. I hear myself ask about her garden instead. My shoulders drop an inch. The pressure in my skull eases as she starts talking about the tomatoes..."
SP-006,relational,"Jamie's keys are on the counter and his bag's by the door and I have to say it now or I never will. My stomach is liquid. My hands are wet. There's a high whine in my ears and I can't feel my lips. I step into the hallway, voice cracking on the first syllable: 'I can't do this anymore. I'm leaving —'","Jamie's keys are on the counter and his bag's by the door and I have to say it now or I never will. My throat seals shut. Cold sweat slides down my ribs, my vision tunnels on his shoulder blades, my jaw locks. I hear myself ask what he wants for dinner. He smiles. My shoulders unclench, breath comes back in a rush, and I tell myself next week, next week..."
SP-007,relational,Dad's asking again if I'll co-sign the loan and the no is sitting in my chest like a stone. My heart is slamming against my sternum. My palms leave damp prints on my jeans. My mouth is sand and my vision keeps narrowing on the lamp behind him. I make myself look at his face. 'Dad. I can't. I won't —',"Dad's asking again if I'll co-sign the loan and the no is sitting in my chest like a stone. My pulse roars in my ears, my hands go numb, my breath stops at the top of my lungs. I hear my own voice say okay, send me the papers. The roaring drops away. My hands warm up. He claps my shoulder and I smile back, jelly-legged with the relief of it..."
SP-008,health,"The mammogram appointment card is in my hand and the phone is ringing. Three years late. My throat is closing, my palms slick, and there's a roaring in my ears that drowns the dial tone. I taste bile. The receptionist picks up and my voice cracks out of me — I'm calling to schedule, yes, the screening, yes, as soon as you have...","The mammogram appointment card is in my hand and the phone is ringing. Three years late. My throat is closing, my palms slick, and there's a roaring in my ears that drowns the dial tone. I taste bile. I hang up before anyone answers. My shoulders drop, breath rushing back in, and I slide the card under a stack of mail where I won't have to see it..."
SP-009,health,"The patient portal is loading. Pathology results, posted at 2:14 a.m. My hands are shaking so hard the phone keeps mis-tapping, my stomach is a fist, and a cold sweat is breaking under my arms. I can hear my own heartbeat. I jam my thumb down on the notification — the page opens, words blurring, and I force my eyes to track the first line...","The patient portal is loading. Pathology results, posted at 2:14 a.m. My hands are shaking so hard the phone keeps mis-tapping, my stomach is a fist, and a cold sweat is breaking under my arms. I can hear my own heartbeat. I lock the screen. The phone goes dark on my chest and I exhale a long shuddering breath, the panic loosening, telling myself I'll wait for the doctor to call instead..."
SP-010,health,"The nurse is tapping the vial, smiling. I haven't had a needle since I was nine and fainted. My knees have gone to water in the chair, my vision is tunneling at the edges, and I can feel my pulse in my eyelids. I push my sleeve up before I can stop myself, look hard at the wall, and hold my arm out — I feel the alcohol swab, cold, and I make myself say go ahead...","The nurse is tapping the vial, smiling. I haven't had a needle since I was nine and fainted. My knees have gone to water in the chair, my vision is tunneling at the edges, and I can feel my pulse in my eyelids. I hear myself say I need a minute, then I'm standing, mumbling something about rescheduling. The hallway air hits my face and my chest unclenches as I push out the clinic door..."
